time,par
2015-08-02 22:54:50,180.297
2015-08-02 22:57:50,197.159
2015-08-02 23:00:50,197.286
2015-08-02 23:03:50,200.267
2015-08-02 23:06:51,205.921
2015-08-02 23:09:51,212.212
2015-08-02 23:12:51,222.911
2015-08-02 23:15:51,109.056
2015-08-02 23:18:52,219.294
2015-08-02 23:21:52,171.765
2015-08-02 23:24:52,173.929
2015-08-02 23:27:52,216.134
2015-08-02 23:30:52,260.046
2015-08-02 23:33:53,244.227
2015-08-02 23:36:53,242.14
2015-08-02 23:39:53,225.305
2015-08-02 23:42:53,215.956
2015-08-02 23:45:54,210.605
2015-08-02 23:48:54,183.302
2015-08-02 23:51:54,204.06
2015-08-02 23:54:54,204.29
2015-08-02 23:57:55,208.237
2015-08-03 00:00:01,204.059
2015-08-03 00:03:02,210.02
2015-08-03 00:06:02,198.253
2015-08-03 00:09:02,202.253
2015-08-03 00:12:02,199.782
2015-08-03 00:15:03,204.084
2015-08-03 00:18:03,142.93
2015-08-03 00:21:03,91.862
2015-08-03 00:24:03,118.504
2015-08-03 00:27:04,96.803
2015-08-03 00:30:04,154.317
2015-08-03 00:33:04,196.828
2015-08-03 00:36:04,105.235
2015-08-03 00:39:05,65.577
2015-08-03 00:42:05,218.325
2015-08-03 00:45:05,256.529
2015-08-03 00:48:05,146.14
2015-08-03 00:51:06,190.741
2015-08-03 00:54:06,204.495
2015-08-03 00:57:06,181.495
2015-08-03 01:00:06,139.468
2015-08-03 01:03:07,139.697
2015-08-03 01:06:07,169.981
2015-08-03 01:09:07,132.515
2015-08-03 01:12:07,203.017
2015-08-03 01:15:08,216.541
2015-08-03 01:18:08,220.643
2015-08-03 01:21:08,204.901
2015-08-03 01:24:08,198.738
2015-08-03 01:27:09,199.399
2015-08-03 01:30:09,199.552
2015-08-03 01:33:09,195.453
2015-08-03 01:36:09,191.86
2015-08-03 01:39:09,188.473
2015-08-03 01:42:10,192.293
2015-08-03 01:45:10,194.816
2015-08-03 01:48:10,194.636
2015-08-03 01:51:10,91.506
2015-08-03 01:54:11,123.19
2015-08-03 01:57:11,188.522
2015-08-03 02:00:11,191.911
2015-08-03 02:03:11,202.253
2015-08-03 02:06:12,55.541
2015-08-03 02:09:12,192.599
2015-08-03 02:12:12,185.542
2015-08-03 02:15:12,184.906
2015-08-03 02:18:13,193.49
2015-08-03 02:21:13,188.116
2015-08-03 02:24:13,115.116
2015-08-03 02:27:13,199.933
2015-08-03 02:30:14,200.036
2015-08-03 02:33:14,71.893
2015-08-03 02:36:14,208.977
2015-08-03 02:39:14,179.763
2015-08-03 02:42:15,209.894
2015-08-03 02:45:15,199.86
2015-08-03 02:48:15,197.745
2015-08-03 02:51:15,198.101
2015-08-03 02:54:16,199.653
2015-08-03 02:57:16,89.238
2015-08-03 03:00:16,190.024
2015-08-03 03:03:16,201.92
2015-08-03 03:06:17,140.688
2015-08-03 03:09:17,170.795
2015-08-03 03:12:17,169.776
2015-08-03 03:15:17,170.056
2015-08-03 03:18:18,170.464
2015-08-03 03:21:18,177.292
2015-08-03 03:24:18,185.57
2015-08-03 03:27:18,44.614
2015-08-03 03:30:18,165.015
2015-08-03 03:33:19,159.412
2015-08-03 03:36:19,155.923
2015-08-03 03:39:19,150.649
2015-08-03 03:42:19,145.81
2015-08-03 03:45:20,142.066
2015-08-03 03:48:20,141.201
2015-08-03 03:51:20,140.894
2015-08-03 03:54:20,137.712
2015-08-03 03:57:21,134.502
2015-08-03 04:00:21,134.808
2015-08-03 04:03:21,132.21
2015-08-03 04:06:21,124.415
2015-08-03 04:09:22,85.216
2015-08-03 04:12:22,123.066
2015-08-03 04:15:22,117.641
2015-08-03 04:18:22,112.292
2015-08-03 04:21:23,111.019
2015-08-03 04:24:23,109.134
2015-08-03 04:27:23,102.334
2015-08-03 04:30:23,22.302
2015-08-03 04:33:24,15.985
2015-08-03 04:36:24,14.202
2015-08-03 04:39:24,20.29
2015-08-03 04:42:24,17.513
2015-08-03 04:45:25,15.297
2015-08-03 04:48:25,14.89
2015-08-03 04:51:25,25.028
2015-08-03 04:54:25,9.057
2015-08-03 04:57:26,6.408
2015-08-03 05:00:26,5.415
2015-08-03 05:03:26,4.498
2015-08-03 05:06:26,3.479
2015-08-03 05:09:26,2.613
2015-08-03 05:12:27,2.027
2015-08-03 05:15:27,1.416
2015-08-03 05:18:27,0.804
2015-08-03 05:21:27,0.524
2015-08-03 05:24:28,0.219
2015-08-03 05:27:28,0.04
2015-08-03 05:30:28,-0.062
2015-08-03 05:33:28,-0.113
2015-08-03 05:36:29,-0.138
2015-08-03 05:39:29,-0.163
2015-08-03 05:42:29,-0.163
2015-08-03 05:45:29,-0.189
2015-08-03 05:48:30,-0.24
2015-08-03 05:51:30,-0.163
2015-08-03 05:54:30,-0.189
2015-08-03 05:57:30,-0.189
2015-08-03 06:00:31,-0.189
2015-08-03 06:03:31,-0.189
2015-08-03 06:06:31,-0.163
2015-08-03 06:09:31,-0.189
2015-08-03 06:12:31,-0.163
2015-08-03 06:15:32,-0.189
2015-08-03 06:18:32,-0.189
2015-08-03 06:21:32,-0.291
2015-08-03 06:24:33,-0.189
2015-08-03 06:27:33,-0.189
2015-08-03 06:30:33,-0.189
2015-08-03 06:33:33,-0.163
2015-08-03 06:36:34,-0.189
2015-08-03 06:39:34,-0.189
2015-08-03 06:42:34,-0.189
2015-08-03 06:45:34,-0.189
2015-08-03 06:48:35,-0.189
2015-08-03 06:51:35,-0.189
2015-08-03 06:54:35,-0.189
